dataset,dataset_label,model,model_label,seed,attack,epsilon_255,conditional_robust_accuracy,source_count,sources
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,4.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,8.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,16.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,0.1,0.7897838899803536,2,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,0.15,0.7524557956777996,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,0.2,0.7347740667976425,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,0.25,0.7210216110019646,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,0.5,0.7033398821218074,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,1.0,0.7072691552062869,2,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,0.1,0.5402750491159135,2,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,0.15,0.2829076620825147,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,0.2,0.1100196463654224,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,0.25,0.03339882121807466,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,0.5,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,1.0,0.0,2,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,2.0,0.7210216110019646,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,4.0,0.7426326129666012,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,8.0,0.7642436149312377,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,FGSM,16.0,0.7642436149312377,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,2.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,4.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,8.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,PGD,16.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,0.1,0.7375478927203065,2,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,0.15,0.7164750957854407,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,0.2,0.7126436781609196,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,0.25,0.7030651340996169,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,0.5,0.6877394636015326,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,1.0,0.6819923371647509,2,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,0.1,0.3448275862068966,2,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,0.15,0.15517241379310345,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,0.2,0.05938697318007663,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,0.25,0.02490421455938697,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
