dataset,dataset_label,model,model_label,seed,epsilon_255,fgsm,pgd,attack_set_min,audited_envelope,adjusted_for_nonmonotonicity,max_pgd_rebound
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,16.0,0.7230483271375465,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,0.1,0.9345417925478349,0.7421953675730111,0.7421953675730111,0.7421953675730111,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,0.15,0.919436052366566,0.5780463242698892,0.5780463242698892,0.5780463242698892,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,0.2,0.8982880161127895,0.4310171198388721,0.4310171198388721,0.4310171198388721,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,0.25,0.8831822759315207,0.30916414904330314,0.30916414904330314,0.30916414904330314,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,0.5,0.8449144008056395,0.059415911379657606,0.059415911379657606,0.059415911379657606,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,1.0,0.8398791540785498,0.0030211480362537764,0.0030211480362537764,0.0030211480362537764,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,2.0,0.8851963746223565,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,4.0,0.9174219536757301,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,8.0,0.8972809667673716,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed42,16.0,0.7784491440080564,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed43,0.1,0.8779011099899092,0.5489404641775983,0.5489404641775983,0.5489404641775983,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed43,0.15,0.8446014127144299,0.30171543895055497,0.30171543895055497,0.30171543895055497,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed43,0.2,0.8032290615539859,0.16044399596367306,0.16044399596367306,0.16044399596367306,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed43,0.25,0.7800201816347124,0.07870837537840565,0.07870837537840565,0.07870837537840565,False,0.0
